delta_s,wait_time_ms,completeness_pct,late_rate_pct,total,on_time,late
0.0,0,8.753,91.247,2961423,259207,2702216
1.0,1000,12.877,87.123,2961423,381335,2580088
2.0,2000,17.864,82.136,2961423,529039,2432384
3.0,3000,23.285,76.715,2961423,689570,2271853
5.0,5000,34.663,65.337,2961423,1026525,1934898
7.0,7000,45.477,54.523,2961423,1346757,1614666
10.0,10000,59.175,40.825,2961423,1752424,1208999
15.0,15000,75.031,24.969,2961423,2221978,739445
20.0,20000,84.435,15.565,2961423,2500486,460937
30.0,30000,93.228,6.772,2961423,2760874,200549
40.0,40000,96.724,3.276,2961423,2864410,97013
50.0,50000,98.413,1.587,2961423,2914430,46993
60.0,60000,99.271,0.729,2961423,2939832,21591
90.0,90000,99.894,0.106,2961423,2958288,3135
120.0,120000,99.972,0.028,2961423,2960590,833
